what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279088949219
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279088958043
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279089025682
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279089033132
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279089063640
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279089071621
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089163723
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279089163811
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089167192
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089220240
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279089220356
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089224861
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279089269641
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279089279842
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279089290800
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279089298874
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089311361
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279089311449
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1279089320090
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089320172
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.gdb.ui",1279089320910
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1279089320973
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089322369
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089328733
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089337927
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1279089337947
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1279089378914
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089382239
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279089410960
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279089416360
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279089448775
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279089457045
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089466543
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279089466635
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089475435
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089494449
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279089494488
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1279089508657
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089512920
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089518618
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1279089518644
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089523124
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089523822
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089526433
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089539273
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1279089551583
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089563984
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089570120
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1279089570147
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089576067
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089613348
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279089613379
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1279089616949
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1279089626635
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089637024
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089716296
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089723897
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279089918928
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090015851
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090017274
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090065947
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090119721
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090119794
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090122190
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090125012
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090131032
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090134838
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090134862
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090136664
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090139311
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1279090140945
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1279090190118
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1279090191718
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1279090191791
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201006141710,"org.eclipse.cdt.debug.core",1279090192219
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui",1279090192291
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1279090192313
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1279090194441
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1279090194452
started,bundle,org.python.pydev.debug,1.5.9.2010063001,"org.python.pydev.debug",1279090195039
started,bundle,org.python.pydev.customizations,1.5.9.2010063001,"org.python.pydev.customizations",1279090195048
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090196877
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090226457
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090226503
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090230188
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090239795
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090239829
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090247575
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090248984
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090249012
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090251775
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090253646
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090253669
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090255607
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090256287
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090256310
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090258172
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090259131
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090259153
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090261016
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090262149
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090262179
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090264287
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090264984
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090265008
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090266669
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090267461
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090267480
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090269556
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090277363
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090277439
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090279382
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090280415
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090280437
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090282698
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090283959
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090283978
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090285795
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090286588
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090286604
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090288523
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090289519
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090289537
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090291266
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090291985
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090292008
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090293956
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090295216
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090295239
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090296995
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090298012
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090298029
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090299632
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090306181
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090306202
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090308385
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090314649
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090314670
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090317089
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090323354
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090323379
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090325247
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090330963
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090330983
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090334472
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090336317
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1279090339084
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1279090352644
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090354579
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279090401420
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279090409731
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279090435657
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279090440588
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090451346
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090451380
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090454697
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279090489126
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279090493756
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279090508962
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279090515965
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090528768
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090528854
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090532171
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279090558470
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279090565394
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279090583389
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279090586925
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090597602
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279090597674
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279090600782
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279090622176
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279090628711
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279090685324
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279090688070
